FlightCode,IATACode
JT403 BTH-SRG 738,738
VY603(A320) LIS,320
AK189 TGG-SIN|A320,320
BJM-KGL [KQ157],None
73H[X3873] HER-DUS,73H
US228-BDL/DFW-B738,738
A320[3O844] NDR-BCN,320
IL268 PKN-SOC,None
QG441 JOG-BPN A320,320
ZB123-GIB/LTN-A320,320
J3655 YLW-YQF JS31,J31
9C770 ZYI-KMG,None
8P733 QBC-YAA|BE1,BE1
KE958-332 RUH-ICN,332
MNL-TAC 5J616/A320,320
US477-LAX/SLC-CR7,CR7
3M415 PBI-TPA|SF3,SF3
PW791+NBO+E190-DAR,E90
DHC6[NF899] ZGU-TOH,DHT
HU374+CAN+B738-FOC,738
WY143-MCT/JED-738,738
319[4U118] SAW-DTM,319
TK458(320) EZS,320
WS110-YHZ/MBJ-B737,73W
WU309 VLC-LWO 320,320
MUC-ZAG [OU575],None
X3971+HAJ+73H-DLM,73H
MD822+DIE+B733-NOS,733
738[US121] JFK-BDA,738
US246-PBI/LGA-738,738
FR815-BHX/DUB-738,738
FCO-LYS U2596/A319,319
I6792 PEW-KHI,None
LS004-HER/EMA-73H,73H
VN775-HAN/DIN-AT7,AT7
LG211(B737) NBExLUX,73W
CC141(SF34) SAP,SF3
SZB-PEN|FY606|AT7,AT7
KE619(A332) ICNxAMS,332
KM346-320 MLA-BEN,320
LS276-733 MAN-PUY,733
ST401-73G ARN-ISU,73G
REL-BRC|8R928|SF3,SF3
AT7[AT588] TFN-CMN,AT7
U2783 FCO-SXF 319,319
MSP-PSP DL909  320,320
CWL-HER TO941  73H,73H
FR264 RZE-BRS 738,738
PI939 CKH-YKS|AN4,AN4
752[DL815] SFO-JFK,752
XY615 KHI-JED,None
320[U6172] SVX-KRR,320
UA165 FRA-IAH|B763,763
MU253 HKG-KHN 320,320
B6512 LGB-BOS|320,320
FR064+GRO+738-GRQ,738
CU949(320) VRA,320
NNG-XMN|KY811|73G,73G
YPM-YXL|WT231|BEH,BEH
CM717 PTY-GRU,None
B738[FR940] BES-MRS,738
SF3[BB361] PUJ-SJU,SF3
AB973 DUS-MAH B738,738
KWL-HGH|HO893|320,320
PN020-319 JHG-KMG,319
BEG-ARN|DY597|73H,73H
BE016 SOU-RNS|DH4,DH4
CGK-PLM GA472/B738,738
Z2340 MNL-MFM,None
9C575-320 SHE-PVG,320
SYD-TSV [JQ736],None
3U970(A320) URCxCGO,320
FR972 WMI-BLQ|B738,738
F50[VA400] PER-BQB,F50
AB172-TFS/VIE-320,320
DH1[WF494] MJF-TRD,DH1
FR402-SZZ/STN-B738,738
G4754(320) SYR,320
FR136(738) MLA,738
OU398 SPU-ZRH,None
TM151(E190) LADxMPM,E90
QZ280 PEN-CGK A320,320
UR750 SVX-GOJ,None
DL068 ATL-CRW 319,319
SUB-MDC [JT167],None
VR808 AMS-VXE|B738,738
PC579 ADA-ADB|B738,738
FCO-ARN|DY023|73H,73H
CZ159(B737) WUHxBKK,73G
KM524-MLA/ATH-320,320
U2253(A320) BRSxDLM,320
9M959 YXT-YXS,None
Y7887(738) LED,738
NK867-SAN/PDX-319,319
AC333 YYZ-AUA A319,319
