FlightCode,IATACode
AT7[FY138] SZB-SIN,AT7
TR917+HAK+A320-SIN,320
AF430(A343) CDG,343
PN558(A320) CKG,320
RO106 PRG-CLJ,None
JE455-733 PLZ-CPT,733
YUL-ALG AH960/A330,330
HFE-ZUH CZ015  B738,738
US805 MIA-DCA|738,738
KWI-AUH AZ056/A320,320
CZ234-CJU/CGO-738,738
CZ522(320) HSN,320
CAN-REP|K6184|321,321
QG503(A320) CGKxUPG,320
ZL806 MGB-MEL|SF3,SF3
QZ364 DMK-CGK,None
U2488+LTN+320-CFU,320
BT562 AES-RIX|DH8D,DH4
HYD-VTZ AI784  A321,321
US332 JLN-DFW|ER4,ER4
OZ629-321 IST-VIE,321
LA484 IQQ-ANF|320,320
FR000 BGY-SKG 738,738
DY969 RAK-CPH|B738,73H
UA516 YEG-EWR A319,319
LAD-FIH SN053  A333,333
7R182 VOZ-DME CR2,CR2
U2279 HAM-NAP 319,319
SU323-319 VKO-LED,319
PS442+KBP+B738-LIS,738
DMK-HKT [DD216],None
ICN-HKG UO948/A320,320
738[US972] RNO-ORD,738
EP381-100 SYZ-THR,100
FR867-BTS/TPS-B738,738
JD654-319 HGH-LJG,319
320[6E019] BLR-TRV,320
TT149+BNE+A320-MEL,320
HMA-SVX|UR350|AT7,AT7
U2160 ALC-BFS,None
OU558-ZAG/MUC-DH8D,DH4
CA990+PEK+738-SWA,738
CA875-DLC/HIJ-738,738
SYD-NKG MU737  A332,332
VN452(A321) CTU,321
AT7[QV241] VTE-ODY,AT7
NOS-DZA [ZD645],None
734[E8539] DMK-CSX,734
B738[UX701] AMS-MAD,738
TG618-HYD/BKK-A320,320
KMG-DMK|FD686|320,320
UR469(AT72) TJM,AT7
SV432-333 LKO-RUH,333
HU388-CSX/HGH-B738,738
TPA-ACY NK825  A319,319
B738[FR937] REU-CRL,738
KY491 KMG-PVG,None
3U134 SYX-YBP 319,319
IB254-320 OVD-SVQ,320
TO012-73H DLM-CWL,73H
LH947 FRA-ALG 319,319
NK773 FLL-MBJ 319,319
HQ236 LGG-PMI,None
AS035+KTN+734-JNU,734
VF673(A320) SIN,320
FR318+AGP+738-SCQ,738
IBZ-NCL LS693  B733,733
PUS-SPN [OZ640],None
OZ287 ZRH-IST|320,320
IXE-DMM IX392  B738,738
MNL-LGP|PR375|320,320
A319[VY621] MAD-FLR,319
FR218+REU+738-EIN,738
AJA-DCM A5255/AT45,AT5
AT7[UR099] SGC-OVB,AT7
MM581-KIX/KHH-A320,320
WN470 DEN-JAX B737,73W
