FlightCode,IATACode
HFE-ZUH CZ059/B738,738
A320[8Q517] IST-EZS,320
HKT-MNL [5J872],None
IY199 AMM-BEY|330,330
E170[EQ031] ETR-UIO,E70
ROV-EGO 7R763  CR2,CR2
FCO-LTN ZB868  A320,320
MU338 KUL-PVG 320,320
U6343(A320) EVN,320
CLE-DFW|US504|319,319
SC262-CKG/CNX-B738,738
WF084-SVG/FRO-DH8C,DH3
A333[AC302] YUL-GVA,333
BLR-GAU 6E504  320,320
U6573-NMA/GOJ-A320,320
AC205(A320) FLL,320
UN952 LHR-EDI,None
MYR-DTW|NK132|320,320
G4728-SFB/PBG-M80,M80
FLN-CCM [NHG698],None
U2007+CDG+A319-PRG,319
NGB-HRB [CZ061],None
KQ080-NBO/GBE-E190,E90
WM460 CUR-SDQ,None
WN364 HOU-FLL|73W,73W
738[FR823] MJV-LBA,738
CZ504+HRB+B738-HFE,738
NP877(A320) HBExJED,320
TG083(773) BKK,773
STN-TFS TOM491  B738,73H
FR626(738) PSA,738
DT226+LAD+73G-MSZ,73G
LA511(320) SCL,320
KQ125(B772) AMSxNBO,772
W6492 CIA-TSR|320,320
QZ768 BDO-SUB 320,320
AV390 MAD-MDE|A330,330
CLY-ORY|XK162|319,319
LIG-BRS FR481  738,738
TCX765 SSH-NCL|752,752
FR532-WMI/BLQ-738,738
TOM589(B738) EMA,73H
OZ163-SIN/ICN-333,333
UN742 EDI-LHR|333,333
VNS-BOM|AI525|319,319
FR284(738) RYG,738
AY029(319) HEL,319
6E494(A320) BOMxLKO,320
LZO-HAK [GS154],None
AT7[AD096] MAB-TUR,AT7
LCA-ATH A3533  A320,320
TOM535 DLM-MAN|B738,73H
LBA-TFS|FR658|738,738
AB204-PMI/FDH-A320,320
V0932(E190) PZOxGEO,E90
NK020(A320) MCO,320
MU233 XUZ-TPE|320,320
BA106-LHR/LOS-744,744
SE272-333 FDF-CDG,333
FSD-DEN|F9434|319,319
BTH-JOG|JT066|738,738
SU208(333) MLE,333
FR990 BGY-BVA B738,738
3U625+HRB+A321-INC,321
7F825(AT43) YCSxYZS,AT4
ZH812-NKG/CSX-738,738
CMH-JFK US496  CR7,CR7
G4892(M80) LAX,M80
AR1[HU059] BRU-MXP,AR1
KE347 KIX-CJU B739,739
B735[UN687] KUF-DME,735
AUX-PMW 2Z815  AT72,AT7
NDB-OUZ L6439/B737,73G
GF646+DEL+321-BAH,321
XY571-HBE/RUH-A320,320
K2911+ZRH+DH4-KRK,DH4
BE475 BHD-NCL DH8D,DH4
JJ301(A320) BSBxMAO,320
5J203+CEB+A320-PUS,320
321[US780] LAS-CLT,321
DV727+SCO+AN24-KZO,AN4
OZ136(320) PUS,320
FR770(B738) CHQxNRN,738
738[FM525] WNZ-CAN,738
738[FR366] DUB-NTE,738
B737[UN341] VKO-ODS,73G
EP651 MHD-AZD|F100,100
AI979-319 BBI-BOM,319
US179(B762) PHLxBRU,762
FR335 LPA-EIN|738,738
MO618+YTH+J328-YFO,FRJ
ATH-IST|OA065|320,320
W6658 DTM-TSR A320,320
SFB-XNA|G4451|320,320
AF862(332) NDJ,332
YRL-ZSJ|WT901|PL2,PL2
DEN-BUR|WN253|73W,73W
US485-FCO/JFK-B763,763
YYG-YHZ|AC351|BEH,BEH
SN539+BJM+332-NBO,332
X3360 FRA-DLM|73H,73H
G4716+YNG+MD80-PGD,M80
VY256+DBV+A320-BCN,320
DY170 ARN-FAO|B738,73H
VA200+CHC+320-OOL,320
A319[3G117] FNA-LGW,319
LTN-PRG|W6278|320,320
LGW-TFS TCX749  B752,752
AD001-ERN/TFF-AT43,AT4
NER-KHV|R3496|DH4,DH4
A321[AB195] HRG-TXL,321
A3113+MUC+A320-HER,320
MLH-CZL AH437/B736,736
NK256 BWI-LAS,None
KIV-VCE|9U657|E90,E90
SC143 FOC-HAK|CRJ2,CR2
UR877 GOJ-VKO,None
CHQ-BLL [FR529],None
LS988-733 LBA-MJV,733
LGW-SSH|TCX254|753,753
LS673+LPA+752-LBA,752
738[KQ560] NBO-LAD,738
DY971-73H BGO-ARN,73H
UX633+FRA+E190-MAD,E90
U2999-JER/NCL-A319,319
LA403-IQQ/VVI-A320,320
US539(738) CUR,738
MU800+DYG+320-PVG,320
OU351-SPU/TXL-A319,319
AB268-TXL/TFS-321,321
CZ048-319 DYG-SZX,319
320[HX615] KWE-HKG,320
CSX-CZX|CZ819|320,320
B737[UA659] STT-EWR,73G
ZM044 FRU-DME,None
